Date,ic_h1,ic_h5,ic_h20
2015-07-10,0.027472527472527472,0.046218487394957986,0.0479153199741435
2015-07-13,0.029144768275203056,0.05215798694059564,0.042204172638955255
2015-07-14,0.030062794348508635,0.04795918367346939,0.03885400313971743
2015-07-15,0.03381829438167467,0.05308775731310943,0.0339730691843368
2015-07-16,0.03258547008547009,0.04754273504273504,0.03830891330891331
2015-07-17,0.039590546439861506,0.04380550955893421,0.0410958904109589
2015-07-20,0.03779328779328779,0.04284229284229284,0.04558954558954559
2015-07-21,0.04256410256410257,0.04322344322344322,0.04776556776556777
2015-07-22,0.0391844997108155,0.043233082706766915,0.047643146327356854
2015-07-23,0.03703439417725132,0.0453831882403311,0.04110175538746968
2015-07-24,0.038461538461538464,0.044237813468582694,0.03606649760495915
2015-07-27,0.03894839337877313,0.05132841841702601,0.03192377243010154
2015-07-28,0.03949175824175824,0.056524725274725275,0.03942307692307693
2015-07-29,0.041039207705874374,0.06084656084656085,0.04449871116537783
2015-07-30,0.04020369874028411,0.05139372822299652,0.04596622889305816
2015-07-31,0.04719978816364359,0.05017873692572488,0.036343174897391764
2015-08-03,0.052263212977498696,0.04290947148090005,0.03126635269492412
2015-08-04,0.056173238526179704,0.03962508080155139,0.03232062055591468
2015-08-05,0.04715052389470994,0.03660874009711219,0.03737541528239203
2015-08-06,0.04755589238347859,0.041366679297713774,0.03795629657698624
2015-08-07,0.03996003996003996,0.04102147852147852,0.037400099900099903
2015-08-10,0.03722681812569453,0.04167181133473268,0.040930979133226325
2015-08-11,0.03412698412698413,0.041697191697191695,0.0405982905982906
2015-08-12,0.03773698828643884,0.04474097331240188,0.04105784325564545
2015-08-13,0.03666985188724319,0.042582417582417584,0.048793597706641184
2015-08-14,0.036039229587616683,0.03928866832092638,0.050336760014179374
2015-08-17,0.03530512041150339,0.04056581716156184,0.04886602758943185
2015-08-18,0.038403701561596296,0.04418739155581261,0.04517061885482939
2015-08-19,0.03691620879120879,0.044413919413919416,0.04653159340659341
2015-08-20,0.036818851251840944,0.042200067973263845,0.04933726067746687
2015-08-21,0.03840547207894147,0.03661134783583763,0.048104956268221574
2015-08-24,0.03823953823953824,0.03479853479853479,0.05239205239205239
2015-08-25,0.03379120879120879,0.041923076923076924,0.05626373626373627
2015-08-26,0.028397345229028398,0.039114350995539116,0.05701229463605701
2015-08-27,0.024617539323421676,0.04088558500323206,0.0566149536737772
2015-08-28,0.02219140083217753,0.0437426651018884,0.06011949215832711
2015-08-31,0.028317836010143704,0.040838968723584106,0.06080938292476755
2015-09-01,0.02522239665096808,0.043799058084772365,0.05593929879644166
2015-09-02,0.026435828322620775,0.03815052871656645,0.05675927845739166
2015-09-03,0.029269795624935813,0.04154256957995276,0.05222347745712232
2015-09-04,0.026404151404151404,0.046855921855921856,0.046092796092796096
2015-09-08,0.029640084685956247,0.04365359411230971,0.045468293174715194
2015-09-09,0.024025974025974027,0.041658341658341654,0.03971028971028971
2015-09-10,0.026928026928026927,0.044500544500544505,0.03544203544203545
2015-09-11,0.03183869701726844,0.05028453689167974,0.03816718995290424
2015-09-14,0.02873674997568803,0.04901293396868618,0.04395604395604396
2015-09-15,0.02694235588972431,0.050510892616155774,0.04824561403508772
2015-09-16,0.029574773053033923,0.05527950310559006,0.04782608695652174
2015-09-17,0.03543008715422508,0.058118605532398636,0.04101932550208412
2015-09-18,0.03404714943176482,0.057058326289095525,0.04048088663473279
2015-09-21,0.03552803129074316,0.06192959582790091,0.040975973179363016
2015-09-22,0.04044694800997322,0.06127066211099824,0.04090867116077201
2015-09-23,0.04354395604395604,0.05673076923076923,0.04445970695970696
2015-09-24,0.04295704295704296,0.05621651076196531,0.042684588139133596
2015-09-25,0.048279589263195824,0.05219780219780219,0.039272203206629434
2015-09-28,0.0470829983025105,0.04766371839542571,0.042928616099347804
2015-09-29,0.04227224388514711,0.04829847571783056,0.04541829138603332
2015-09-30,0.041098901098901096,0.04228571428571429,0.04030769230769231
2015-10-01,0.037153322867608585,0.03881039595325309,0.036542822257107976
2015-10-02,0.032404603270745,0.04149000605693519,0.03651466643592628
2015-10-05,0.03352506868131868,0.04614526098901099,0.029103708791208792
2015-10-06,0.02751512053837635,0.051665388874691194,0.024661385126501408
2015-10-07,0.025570583262890953,0.05084530853761623,0.025612848689771768
2015-10-08,0.02688532841204597,0.04387215837597517,0.026801442831977187
2015-10-09,0.031385281385281384,0.04212454212454212,0.023434898434898436
2015-10-12,0.03701561596298439,0.041601255886970175,0.02656366190200777
2015-10-13,0.03706741020173856,0.04317697228144989,0.02427423322945711
2015-10-14,0.029995929995929996,0.04745624745624745,0.028123728123728126
2015-10-15,0.02807853910795087,0.04779411764705882,0.03442146089204913
2015-10-16,0.02751263335204941,0.043795620437956206,0.03360872703938398
2015-10-19,0.029025322503583372,0.0470218187609492,0.031692944736423
2015-10-20,0.03344137876511977,0.04913431891849158,0.032097399003873824
2015-10-21,0.0336734693877551,0.04387755102040816,0.025902668759811617
2015-10-22,0.02953783804847634,0.041423115891201,0.031057594887382124
2015-10-23,0.03130320383841511,0.041982665222101846,0.028052932982510447
2015-10-26,0.03423499577345731,0.036194574656113115,0.026819334511642205
2015-10-27,0.03014346764346764,0.03353937728937729,0.02586996336996337
2015-10-28,0.02652519893899204,0.03425539977264115,0.023076923076923078
2015-10-29,0.02600481710070751,0.03432184254102062,0.021074815595363543
2015-10-30,0.021753756447634,0.03352769679300291,0.022538685803991928
2015-11-02,0.022423522423522423,0.03482328482328482,0.020196020196020195
2015-11-03,0.022752415369865032,0.030828232170514048,0.02083486982815842
2015-11-04,0.022893772893772892,0.033443223443223445,0.023699633699633703
2015-11-05,0.023942944472745798,0.03500473036896878,0.02339713266865585
2015-11-06,0.02309861191440139,0.0298582995951417,0.02497831116252169
2015-11-09,0.01971557853910795,0.03145873734109028,0.023845435610141495
2015-11-10,0.02237048665620094,0.032574568288854,0.021050378193235336
2015-11-11,0.023714994682736617,0.031974477135767454,0.021056362991846864
2015-11-12,0.018913778529163143,0.03293181177796562,0.020604395604395604
2015-11-13,0.020228179463848254,0.03419192272695457,0.022292993630573247
2015-11-16,0.021769369870635692,0.0332104604256503,0.019995826957852278
2015-11-17,0.021390559126408182,0.030409841730596444,0.021494229041398853
2015-11-18,0.020020604395604394,0.02963598901098901,0.02087912087912088
2015-11-19,0.022865333424339634,0.030714626987918908,0.016278752303597023
2015-11-20,0.022588522588522588,0.028252611585944918,0.016856600189933523
2015-11-23,0.019820670127418595,0.02888828962448594,0.0184386165981258
2015-11-24,0.01939828464218708,0.029985258643795226,0.019230769230769232
2015-11-25,0.019946719946719947,0.031202131202131198,0.016050616050616053
2015-11-27,0.01750959883490004,0.03207334833840858,0.01856878061697339
2015-11-30,0.018095676778311507,0.03375666249917746,0.022537342896624332
2015-12-01,0.020146520146520148,0.03198587127158555,0.022108843537414966
2015-12-02,0.021392808375056895,0.02861044281162624,0.018109109825086157
2015-12-03,0.02297996121525533,0.02967032967032967,0.015449256625727215
2015-12-04,0.024869866975130134,0.027858106805475225,0.013013302486986698
2015-12-07,0.023447482749808332,0.03136979299769997,0.012234858165090724
2015-12-08,0.0199771326938957,0.031124944419742104,0.009369243473289716
2015-12-09,0.020493873942149805,0.03280914487811039,0.010325881015536189
2015-12-10,0.01959183673469388,0.03324960753532182,0.014505494505494505
2015-12-11,0.0231018981018981,0.029595404595404592,0.01635864135864136
2015-12-14,0.021978021978021976,0.030545725460979695,0.015676413981498726
2015-12-15,0.023459686381034697,0.03080627237930609,0.01602049635757501
2015-12-16,0.024372275768923812,0.029743999017742034,0.013321873657069187
2015-12-17,0.020024420024420026,0.027136752136752134,0.017673992673992674
2015-12-18,0.020854835771962843,0.030933155242547507,0.017303138850100177
2015-12-21,0.02058930080908103,0.03317836010143702,0.01772128969931168
2015-12-22,0.019485978502371944,0.034318140875517926,0.018224944454452652
2015-12-23,0.017200191113234592,0.03087673196368848,0.018096034400382228
2015-12-24,0.019305019305019305,0.02978912978912979,0.015503415503415503
2015-12-28,0.022893772893772892,0.029274488951908307,0.012318326834455866
2015-12-29,0.0238878768290533,0.03017570664629488,0.014221073044602458
2015-12-30,0.020721299976619124,0.02905073649754501,0.013414776712649052
2015-12-31,0.01936159079016222,0.029943601372172796,0.015495086923658353
2016-01-04,0.01882591093117409,0.03230190861769809,0.017437825332562176
2016-01-05,0.02128761291064956,0.03535469765836258,0.01481502790403314
2016-01-06,0.0218349358974359,0.03528502747252747,0.01290636446886447
2016-01-07,0.023999316745430738,0.03353641177475374,0.01366509138529864
2016-01-08,0.02483856349835731,0.036252407386428,0.014982440240172198
2016-01-11,0.0274443505212736,0.03755987602141448,0.017807833192448577
2016-01-12,0.028341556402780892,0.03933056739179188,0.019707333482843686
2016-01-13,0.025464383332403636,0.03656495788475484,0.021057622580465223
2016-01-14,0.02786102786102786,0.03407703407703408,0.017843267843267844
2016-01-15,0.028604561267877852,0.03859959136341046,0.0156275884919101
2016-01-19,0.03087912087912088,0.034917582417582416,0.011785714285714287
2016-01-20,0.02862063309824504,0.03673938002296211,0.014269312776775463
2016-01-21,0.02526928517027527,0.03517027526928517,0.014361875748014362
2016-01-22,0.02977318248254209,0.0315866399610242,0.01150327505007308
2016-01-25,0.025937297996121524,0.03417905623787977,0.01500215470803706
2016-01-26,0.027740552130796035,0.03803269900830877,0.012061109622085233
2016-01-27,0.025978875493438604,0.036061026352288486,0.012189267043635975
2016-01-28,0.022774327122153208,0.03578064447629665,0.008732813080639166
2016-01-29,0.02533284023668639,0.038303043110735416,0.011781487743026205
2016-02-01,0.02897102897102897,0.040222934959777065,0.009175035490824964
2016-02-02,0.026818419675562536,0.0424385138670853,0.008006279434850863
2016-02-03,0.02742044685172647,0.04377376178324045,0.0077079318785479925
2016-02-04,0.030193862741032553,0.04530375285092266,0.005157578270785819
2016-02-05,0.03252850435949028,0.04178919671877419,0.0038177784656657898
2016-02-08,0.0350210537126425,0.03951422409366335,0.007163397350313238
2016-02-09,0.03641707130079223,0.03580373115256836,0.004778941988244314
2016-02-10,0.0375966625966626,0.03886853886853887,0.004934879934879934
2016-02-11,0.034106446548842866,0.03787917151972451,0.0011394135818098951
2016-02-12,0.03185805020667406,0.03498336525859461,0.0017642907551164433
2016-02-16,0.028350644789000953,0.03823573686587385,0.004516031913292188
2016-02-17,0.03154345654345654,0.03573926073926074,0.0040959040959040955
2016-02-18,0.030530555417433245,0.03560240664313062,0.002337029486350753
2016-02-19,0.02781902781902782,0.032175032175032175,0.00012375012375012332
2016-02-22,0.031168383186320408,0.03511062928103287,-0.00017247326664367069
2016-02-23,0.02857633437990581,0.03198587127158555,0.000147174254317111
2016-02-24,0.028473748473748475,0.03062271062271062,0.002295482295482295
2016-02-25,0.02506564232227949,0.030487211903141104,0.0004862394242925211
2016-02-26,0.028077649223023676,0.02822287844314276,0.0024446918720046466
2016-02-29,0.02501445922498554,0.027014652014652012,0.002964141122035858
2016-03-01,0.023945486827582897,0.03049570516819425,0.0024953212726138486
2016-03-02,0.023865265169612997,0.028523650262780698,0.0026755852842809355
2016-03-03,0.021882879025736168,0.02887588601874316,0.001974216259930545
2016-03-04,0.020841227737779463,0.02472527472527472,0.0032446002273588477
2016-03-07,0.024076781587511205,0.025185115313870677,0.006084044710654152
2016-03-08,0.022165868319714475,0.027730816192354655,0.002888137503522118
2016-03-09,0.022422258592471357,0.02730886135141454,0.005400981996726677
2016-03-10,0.018299497113056437,0.026378282734214935,0.00412087912087912
2016-03-11,0.01884824036722771,0.024389112996707932,0.005610423331942318
2016-03-14,0.021077661833964353,0.02361713916335765,0.0023547880690737823
2016-03-15,0.021403282909559063,0.02354131224424111,-0.00016092693916961782
2016-03-16,0.02065018315018315,0.025114468864468865,-0.0029304029304029313
2016-03-17,0.01874059550408098,0.024349094888513972,-0.0004559755597100002
2016-03-18,0.017959313413858872,0.0255199346108437,-0.00295159386068477
2016-03-21,0.017568850902184234,0.025844525844525845,-0.0028716139827250943
2016-03-22,0.018870473788506578,0.024995496306971714,-0.0054044316339398315
2016-03-23,0.017963668984077148,0.025117739403453687,-0.00511325409284593
2016-03-24,0.019074421513445905,0.024300902349682837,-0.006879299562226392
2016-03-28,0.019553321172754375,0.025092316590292298,-0.004626951995373048
2016-03-29,0.018898440269408012,0.02714019851116625,-0.005516660758596243
2016-03-30,0.018888741780308044,0.02495697074010327,-0.004700119157950483
2016-03-31,0.017604395604395605,0.0269010989010989,-0.002417582417582418
2016-04-01,0.018431767435751503,0.025874523882492007,-0.000897508865636356
2016-04-04,0.020517181231466945,0.0275161346589918,-0.00163526949241235
2016-04-05,0.01920896563753707,0.024441828013256582,0.0007849293563579276
2016-04-06,0.017551892551892552,0.02330804116518402,0.004644165358451073
2016-04-07,0.016527123669980815,0.022348683062968774,0.0040772719344147924
2016-04-08,0.017464678178963893,0.021476539333682192,0.005102040816326531
2016-04-11,0.015567765567765571,0.021520146520146517,0.004360718646432932
2016-04-12,0.015306122448979593,0.01936159079016222,0.002376591662305948
2016-04-13,0.01482644339787197,0.01624367695796267,0.0045351473922902496
2016-04-14,0.01295133437990581,0.01652712366998081,0.0069771498342926916
2016-04-15,0.013779870922728065,0.015611372754229896,0.006105006105006105
2016-04-18,0.012689691261119834,0.015044479330193613,0.006061398918541776
2016-04-19,0.011141636141636142,0.018009768009768005,0.0030088958660387227
2016-04-20,0.012144601430315715,0.018663875806732948,0.0023111808826094538
2016-04-21,0.012035583464154894,0.017748124890982032,0.0009157509157509155
2016-04-22,0.010531135531135532,0.018293214721786147,0.0013518227803942088
2016-04-25,0.014499389499389498,0.01792255363683935,0.00285627071341357
2016-04-26,0.015175300889586607,0.016439909297052153,0.003117913832199546
2016-04-27,0.013103959532530962,0.017835339263910694,0.002093144950287807
2016-04-28,0.013823478109192395,0.017421070992499562,4.360718646432872e-05
2016-04-29,0.012537066108494681,0.019056340484911914,-0.00045787545787545847
2016-05-02,0.012275422989708705,0.016592534449677305,-0.0022457701029129605
2016-05-03,0.012973137973137974,0.016352694924123494,-0.0026818419675562538
2016-05-04,0.011752136752136752,0.01657073085644514,-0.004120879120879121
2016-05-05,0.013649049363335079,0.017857142857142856,-0.002376591662305948
2016-05-06,0.011882958311529742,0.015698587127158554,-0.001657073085644514
2016-05-09,0.01225361939647654,0.017224838653410082,-2.1803593232164833e-05
2016-05-10,0.012166405023547882,0.013692656549799407,0.0007631257631257629
2016-05-11,0.013714460143031572,0.011817547531833244,-0.0032487353915925344
2016-05-12,0.010487528344671202,0.011316064887493458,-0.005058433629862201
2016-05-13,0.012733298447584163,0.012188208616780044,-0.0033795569509855227
2016-05-16,0.011817547531833249,0.0119047619047619,-0.0038592360020931454
2016-05-17,0.008874062445491018,0.011010814582243152,-0.0013518227803942092
2016-05-18,0.008852258852258854,0.010007849293563577,-0.003052503052503053
2016-05-19,0.009528170242455959,0.006105006105006102,-0.0025074132216989357
2016-05-20,0.008547008547008548,0.0063884528170242445,-0.0003924646781789638
2016-05-23,0.0078056863771149496,0.003946450375021802,-0.0012428048142333857
2016-05-24,0.007107971393685681,0.005603523460666317,-0.0035103785103785096
2016-05-25,0.0026600383743240886,0.0037284144427001554,-0.000566893424036281
2016-05-26,0.0033141461712890294,0.0027908599337170747,-0.001657073085644514
2016-05-27,-0.00159166230594802,0.004055468341182625,-0.0029216814931100643
2016-05-31,0.0013954299668585387,0.006911739054596195,0.0005232862375719522
2016-06-01,0.0008939473225187515,0.006126809698238267,0.0008285365428222575
2016-06-02,0.00013082155939298816,0.002354788069073781,-0.0006759113901971043
2016-06-03,0.00043607186464329355,0.0009593581022152428,0.000523286237571952
2016-06-06,0.002485609628466772,0.0023329844758416167,8.721437292865877e-05
2016-06-07,0.0026164311878597592,0.0009811616954474075,0.001417233560090703
2016-06-08,-0.0008721437292865864,0.002158555729984299,0.0016352694924123496
2016-06-09,-0.002747252747252747,0.0012428048142333835,0.0016788766788766785
2016-06-10,-0.0017006802721088437,-0.001853305424733998,-0.0009593581022152452
2016-06-13,-0.0022893772893772895,-0.0005450898308041184,-0.0018533054247339964
2016-06-14,-0.0017224838653410082,-0.0021585557299843034,-0.0039246467817896395
2016-06-15,-0.0006105006105006103,-0.003793825222396653,-0.00551630908773766
2016-06-16,-0.004971219256933543,-0.0018751090179661626,-0.005647130647130647
2016-06-17,-0.0038592360020931445,-0.0015262515262515282,-0.007609454038025468
2016-06-20,-0.005865166579452293,-0.0006105006105006125,-0.008939473225187513
2016-06-21,-0.008110936682365254,0.001351822780394207,-0.00813274027559742
2016-06-22,-0.0056253270538984814,-0.00039246467817896603,-0.009484563055991628
2016-06-23,-0.006889935461364033,-0.001308215593929882,-0.007565846851561138
2016-06-24,-0.005058433629862202,0.0018969126111983232,-0.006148613291470435
2016-06-27,-0.004709576138147566,0.004426129426129423,-0.0053636839351125076
2016-06-28,-0.008721437292865866,0.00436071864643293,-0.004251700680272109
2016-06-29,-0.012035583464154892,0.002812663526949238,-0.0062794348508634235
2016-06-30,-0.007892900750043605,-0.0019405197976626572,-0.0048403976975405555
2016-07-01,-0.006105006105006104,-0.007216989359846505,-0.0061704168847026
2016-07-05,-0.00612680969823827,-0.011359672073957792,-0.005799755799755801
2016-07-06,-0.007805686377114948,-0.00985522414093843,-0.010574742717599861
2016-07-07,-0.012711494854351996,-0.013343799058084775,-0.010465724751439039
2016-07-08,-0.017769928484214197,-0.014324960753532184,-0.010443921158206875
2016-07-11,-0.02165096807953951,-0.01676696319553463,-0.010138670852956569
2016-07-12,-0.020560788417931273,-0.01720303506017792,-0.006737310308738881
2016-07-13,-0.02385313099598814,-0.018271411128553988,-0.003335949764521194
2016-07-14,-0.0249869178440607,-0.017704517704517704,-0.0035975928833071697
2016-07-15,-0.027516134658991803,-0.018489447060875634,-0.0040772719344147924
2016-07-18,-0.02773417059131345,-0.018358625501482647,-0.007238792953078668
2016-07-19,-0.029260422117564973,-0.018947322518751093,-0.008067329495900926
2016-07-20,-0.028497296354439212,-0.017835339263910694,-0.00865602651316937
2016-07-21,-0.02943485086342229,-0.019841269841269844,-0.007282400139542998
2016-07-22,-0.028671725100296527,-0.018794697366125938,-0.007435025292168151
2016-07-25,-0.03032879818594104,-0.01805337519623234,-0.004664078205607788
2016-07-26,-0.028758939473225185,-0.01966684109541253,-0.005667043494287363
2016-07-27,-0.030895691609977325,-0.023896738182452467,-0.009526279496380508
2016-07-28,-0.030394208965637534,-0.022523111808826095,-0.01172844241282914
2016-07-29,-0.029325832897261466,-0.021541950113378686,-0.01196828193838295
2016-08-01,-0.031746031746031744,-0.02239229024943311,-0.010311208852738434
2016-08-02,-0.035583464154892726,-0.017878946450375025,-0.00882856451295124
2016-08-03,-0.03532182103610675,-0.016854177568463285,-0.00935185075052319
2016-08-04,-0.03274899703471132,-0.016570730856445143,-0.009853333394862978
2016-08-05,-0.034427873713588,-0.018315018315018316,-0.011335977734650175
2016-08-08,-0.03087388801674516,-0.01862026862026862,-0.010790887903846058
2016-08-09,-0.030045351473922902,-0.021018663875806736,-0.011531309718465632
2016-08-10,-0.0296746903889761,-0.023024594453165882,-0.012512471413913043
2016-08-11,-0.031135531135531132,-0.02476888191173906,-0.013057561244717159
2016-08-12,-0.030917495203209487,-0.022326879469736615,-0.014213151686021887
2016-08-15,-0.03340310483167625,-0.019915706677428206,-0.014300366058950546
2016-08-16,-0.03549624978196407,-0.019763081524803053,-0.011967381583108927
2016-08-17,-0.03706610849467992,-0.02312083488255641,-0.008653235411819898
2016-08-18,-0.03530001744287459,-0.022466727085591467,-0.008042734801319288
2016-08-19,-0.03409901910455748,-0.020613421660857476,-0.009808825853124625
2016-08-22,-0.03446968018950428,-0.020373582135303662,-0.009765218666660296
2016-08-23,-0.036846271851810226,-0.01873831264289131,-0.010702773175643377
2016-08-24,-0.03405541191809315,-0.021572779763072716,-0.01068096958241121
2016-08-25,-0.031133730424983085,-0.018563883897033992,-0.012163613922198408
2016-08-26,-0.031700623849019366,-0.01952324199924924,-0.011291470192911822
2016-08-29,-0.0295202645258029,-0.02043899291500016,-0.01301395405825283
2016-08-30,-0.03211489212043049,-0.01862821425040166,-0.013689865448449936
2016-08-31,-0.02899697828823095,-0.021746128082601207,-0.012010988769573256
2016-09-01,-0.029760104051356713,-0.020416108895439163,-0.014256758872486217
2016-09-02,-0.031329962764072565,-0.02078676998038596,-0.013275597177038807
2016-09-06,-0.02955205455445589,-0.02189875323522636,-0.010702773175643377
2016-09-07,-0.032626361200191106,-0.01814853519929404,-0.011204255819983164
2016-09-08,-0.03116552045363608,-0.0160117830625419,-0.008958485717070204
2016-09-09,-0.03186323543706534,-0.017756070521115074,-0.008042734801319288
2016-09-12,-0.0346104881843181,-0.019914626251099375,-0.007148787478800538
2016-09-13,-0.03160159231827937,-0.02100480591270761,-0.011487702532001303
2016-09-14,-0.02885433957102662,-0.021920556828458525,-0.013777079821378591
2016-09-15,-0.03068584140252845,-0.023534022727638708,-0.016110064297220214
2016-09-16,-0.03323686181069172,-0.026978990458320723,-0.010550148023018223
2016-09-19,-0.033934576794120985,-0.028090973713161122,-0.009896040226053284
2016-09-20,-0.034545077404621594,-0.029006724628912038,-0.008871271344141545
2016-09-21,-0.036594615168445074,-0.028527045577804416,-0.009220128835856179
2016-09-22,-0.03969072540741246,-0.027349651543267527,-0.013057561244717159
2016-09-23,-0.04110795896750316,-0.027109812017713713,-0.011771149244019445
2016-09-26,-0.04224174581557572,-0.025343720965908374,-0.007454037784050842
2016-09-27,-0.04104254818780667,-0.020634144827760808,-0.010877201921500693
2016-09-28,-0.040715494289324194,-0.0199582334375637,-0.012948543278556338
2016-09-29,-0.04095533381487801,-0.01686212319859632,-0.011291470192911822
2016-09-30,-0.039232849949537005,-0.01688392679182849,-0.010201290531303588
2016-10-03,-0.03437064865876429,-0.015946372282845404,-0.011269666599679658
2016-10-04,-0.03369473726856718,-0.02054693045483215,-0.010877201921500693
2016-10-05,-0.02922500065597342,-0.02392648740581767,-0.011640327684626457
2016-10-06,-0.030184358758188666,-0.026782758119231243,-0.013580847482289111
2016-10-07,-0.028614500045472807,-0.020721359200689463,-0.014976277449147651
2016-10-10,-0.0330624330648344,-0.020001840624028034,-0.010964416294429352
2016-10-11,-0.03661641876167724,-0.018802642996258973,-0.010419326463625235
2016-10-12,-0.0399741721194306,-0.01967478672554556,-0.008347985106569596
2016-10-13,-0.03373834445503151,-0.023381397575013552,-0.010266701311000083
2016-10-14,-0.033062433064834404,-0.023185165235924073,-0.010986219887661516
2016-10-17,-0.03192864621676183,-0.018431981911312175,-0.010114076158374929
2016-10-18,-0.0326917719798876,-0.02224761072694099,-0.008893074937373707
2016-10-19,-0.03657281157521291,-0.023664844287031698,-0.008435199479498251
2016-10-20,-0.03609313252410529,-0.02165891370967255,-0.002133961035402664
2016-10-21,-0.03129634201302906,-0.02137546699765441,-0.0032677478834752262
2016-10-24,-0.03439245225199644,-0.023054343676531086,0.00028623781336761296
2016-10-25,-0.035591649879765506,-0.022291217913405322,0.0021831504245659384
2016-10-26,-0.03317145103099522,-0.02266187899835212,0.002989883374156031
2016-10-27,-0.031863235437065346,-0.023970094592282002,0.005519100189087131
2016-10-28,-0.03347670133624553,-0.02621586469519496,0.006064190019891247
2016-10-31,-0.033106040251298735,-0.024776827541872094,0.005671725341712284
2016-11-01,-0.03487213130310406,-0.022967129303602427,0.007982906224321738
2016-11-02,-0.035504435506836844,-0.020503323268367818,0.008179138563411221
2016-11-03,-0.03814267028792877,-0.022269414320173157,0.005148439104140331
2016-11-04,-0.03833890262701825,-0.0214408777773509,0.006849119376249176
2016-11-07,-0.03576607862562281,-0.01799591004666888,0.006827315783017011
2016-11-08,-0.03345489774301336,-0.018998875335348456,0.010555730225717168
2016-11-09,-0.0341090055399783,-0.020307090929278338,0.013455608125595068
2016-11-10,-0.03280078994604843,-0.01777787411434724,0.014436769821042477
2016-11-11,-0.028527285672544155,-0.016818516012131992,0.012845107515094458
2016-11-14,-0.030773055775457112,-0.016862123198596323,0.012038374565504365
2016-11-15,-0.03284439713251276,-0.014856192621237172,0.015439735109722052
2016-11-16,-0.030489609063438974,-0.011498439263483814,0.014393162634578148
2016-11-17,-0.027829570689114885,-0.009928580550767958,0.012845107515094458
2016-11-18,-0.028919750350723115,-0.0123705829927704,0.015178091990936077
2016-11-21,-0.027001034146292627,-0.010996956619144026,0.01799075551788532
2016-11-22,-0.023032780178038656,-0.008620364956838078,0.014698412939828454
2016-11-23,-0.02192079692319826,-0.007050506244122225,0.01336839375266641
2016-11-25,-0.024144763432879055,-0.011258599737930003,0.013608233278220222
2016-11-28,-0.022858351432181342,-0.010081205703393112,0.011689517073789731
2016-11-29,-0.02069979570219704,-0.009666937431981982,0.00728519124089247
2016-11-30,-0.019936669939071276,-0.0061783625148356365,0.005366475036461979
2016-12-01,-0.024188370619343383,-0.002144697766885175,0.008767835580679666
2016-12-02,-0.023338030483288964,-0.0027115911909214563,0.009858015242287901
