Date,ma_crossover,ou_mean_reversion,momentum_accel,ensemble_return,chosen
2020-01-06,0.0,0.0,0.0,0.0,ma_crossover
2020-01-07,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-01-08,0.0,0.0,0.0,0.0,momentum_accel
2020-01-09,0.0,0.0,0.0,0.0,ma_crossover
2020-01-10,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-01-13,0.0,0.0,0.0,0.0,momentum_accel
2020-01-14,0.0,0.0,0.0,0.0,ma_crossover
2020-01-15,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-01-16,0.0,0.0,0.0,0.0,momentum_accel
2020-01-17,0.0,0.0,0.0,0.0,ma_crossover
2020-01-21,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-01-22,0.0,0.0,0.0,0.0,momentum_accel
2020-01-23,0.0,0.0,0.0,0.0,ma_crossover
2020-01-24,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-01-27,0.0,0.0,0.0,0.0,momentum_accel
2020-01-28,0.0,0.0,0.0,0.0,ma_crossover
2020-01-29,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-01-30,0.0,0.0,0.0,0.0,momentum_accel
2020-01-31,0.0,0.0,0.0,0.0,ma_crossover
2020-02-03,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-02-04,0.0,0.0,0.0,0.0,momentum_accel
2020-02-05,0.0,0.0,0.0,0.0,ma_crossover
2020-02-06,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-02-07,0.0,0.0,0.0,0.0,momentum_accel
2020-02-10,0.0,0.0,0.0,0.0,ma_crossover
2020-02-11,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-02-12,0.0,0.0,0.0,0.0,momentum_accel
2020-02-13,0.0,0.0,0.0,0.0,ma_crossover
2020-02-14,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-02-18,0.0,0.0,0.0,0.0,momentum_accel
2020-02-19,0.0,0.0,0.0,0.0,ma_crossover
2020-02-20,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-02-21,0.0,0.0,0.0,0.0,momentum_accel
2020-02-24,0.0,0.0,0.0,0.0,ma_crossover
2020-02-25,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-02-26,0.0,0.0,0.0,0.0,momentum_accel
2020-02-27,0.0,0.0,0.0,0.0,ma_crossover
2020-02-28,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-03-02,0.0,0.0,0.0,0.0,momentum_accel
2020-03-03,0.0,0.0,0.0,0.0,ma_crossover
2020-03-04,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-03-05,0.0,0.0,0.0,0.0,momentum_accel
2020-03-06,0.0,0.0,0.0,0.0,ma_crossover
2020-03-09,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-03-10,0.0,0.0,0.0,0.0,momentum_accel
2020-03-11,0.0,0.0,0.0,0.0,ma_crossover
2020-03-12,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-03-13,0.0,0.0,0.0,0.0,momentum_accel
2020-03-16,0.0,0.0,0.0,0.0,ma_crossover
2020-03-17,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-03-18,0.0,-0.05063295641609056,0.0,0.0,momentum_accel
2020-03-19,0.0,0.0021250734312330266,0.0,0.0,ma_crossover
2020-03-20,0.0,-0.04309426522608639,0.0,-0.04309426522608639,ou_mean_reversion
2020-03-23,0.0,-0.025568081923431296,0.0,0.0,momentum_accel
2020-03-24,0.0,0.09060325369500655,0.0,0.0,ma_crossover
2020-03-25,0.0,0.014970055192279785,0.0,0.0,momentum_accel
2020-03-26,0.0,0.05839011241658443,0.0,0.05839011241658443,ou_mean_reversion
2020-03-27,0.0,-0.029785868871591514,0.0,-0.029785868871591514,ou_mean_reversion
2020-03-30,0.0,0.03247571394310067,0.0,0.0,ma_crossover
2020-03-31,0.0,-0.014905349229521692,0.0,0.0,momentum_accel
2020-04-01,0.0,-0.04500484741775035,0.0,0.0,ma_crossover
2020-04-02,0.0,0.023075423353761337,0.0,0.0,momentum_accel
2020-04-03,0.0,-0.01445426799789229,0.0,-0.01445426799789229,ou_mean_reversion
2020-04-06,0.0,0.06716633389271953,0.0,0.0,ma_crossover
2020-04-07,0.0,0.001019335052704573,0.0,0.0,momentum_accel
2020-04-08,0.0,0.03356821369688401,0.0,0.03356821369688401,ou_mean_reversion
2020-04-09,0.0,0.015217733539657274,0.0,0.015217733539657274,ou_mean_reversion
2020-04-13,0.0,-0.00913029016128264,0.0,0.0,ma_crossover
2020-04-14,0.0,0.029492883489215416,0.0,0.0,momentum_accel
2020-04-15,0.0,-0.021247881371942445,0.0,-0.021247881371942445,ou_mean_reversion
2020-04-16,0.0,0.004823912301664457,0.0,0.0,ma_crossover
2020-04-17,0.0,0.027015776887937326,0.0,0.0,momentum_accel
2020-04-20,0.0,-0.01761814123804617,0.0,0.0,ma_crossover
2020-04-21,0.0,0.0,0.0,0.0,momentum_accel
2020-04-22,0.0,0.0,0.0,0.0,ou_mean_reversion
2020-04-23,0.0,0.0,0.0,0.0,ma_crossover
